Name,SMILES,INCHIKEY,Phase
FR-158999,CC(C)[C@@H](C(=O)N1CCS(=O)(=O)CC1)NC(=O)[C@H](CC(=O)O)NC(=O)CCCOc2ccc(cc2)C(=N)N, FPOQHPVEVPIFME-RXVVDRJESA-N ,1
R-142086,CC(=N)N1CCC(CC1)OC2=C(C=C(C=C2)N(C/C(=C/C3=CC(=CC=C3)C(=N)N)/F)S(=O)(=O)CC(=O)O)C(=O)N, MTJXMCACYDBYBN-HVOBRCNWSA-N ,
TAK-029,COC(=O)C[C@H]1C(=O)N(CCN1C(=O)CNC(=O)c2ccc(cc2)C(=N)N)CC(=O)O,CRFQJHNXTNBRQR-ZDUSSCGKSA-N,1
"VLA-4 antagonists, Aventis",CN([C@@H](CC(O)=O)C(=O)N[C@H](C(O)=O)c1ccccc1)C(=O)CN1C(=O)N(Cc2ccc(cc2)-c2ccccc2)C(C)(C1=O)c1ccc(cc1)C(N)=N,SQQSEFSPDWYHHB-NBSZLRCWSA-N,2
Metesind,CN(CC1=CC=C(C=C1)S(=O)(=O)N2CCOCC2)C3=C4C=CC=C5C4=C(C=C3)N=C5N , CVEGTZWWWRJCFK-UHFFFAOYSA-N ,1
DW-1350,CC1=NC(=C(S1)C(C)C)C2=CC=C(C=C2)OCCCCCOC3=CC=C(C=C3)/C(=N/O)/N , JDXVNCOKDAGOAM-UHFFFAOYSA-N ,2
GR-144053,[H]/N=C(/C1=CC=C(C=C1)N2CCN(CC2)C3CCN(CC3)CC(=O)O)\N , QGEGSJUSWLLZLH-UHFFFAOYSA-N ,
tolonidine,CC1=CC(=C(C=C1)NC2=NCCN2)Cl , KWBTZIFLQYYPTH-UHFFFAOYSA-N ,4
TAK-024,NC(=N)Nc1ccc(cc1)C(=O)NCCC[C@@H]1N(CCN(CC(O)=O)C1=O)C(=O)CNC(=O)c1ccc(NC(N)=N)cc1,YKSPQSYSZRGOSU-FQEVSTJZSA-N,1
Indanazoline,C1CC2=C(C1)C(=CC=C2)NC3=NCCN3 , KUCWWEPJRBANHL-UHFFFAOYSA-N ,4
brimonidine,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br , XYLJNLCSTIOKRM-UHFFFAOYSA-N ,4
AGN-191103,[H]N1CCN([H])\C1=N\C2=CC=C3N=CC=NC3=C2C, QZUXRMOPAGPTIY-UHFFFAOYSA-N ,2
flutonidine,CC1=C(C=C(C=C1)F)NC2=NCCN2 , UYIZEUBMWCOJFF-UHFFFAOYSA-N ,4
